NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=309.051s, table=0, n_packets=10792, n_bytes=4949665, idle_age=0, priority=0 actions=NORMAL
 cookie=0x0, duration=308.893s, table=0, n_packets=0, n_bytes=0, idle_age=308, priority=2,icmp actions=drop
 cookie=0x0, duration=308.580s, table=0, n_packets=16635, n_bytes=4497348, idle_age=0, priority=1,in_port=1 actions=resubmit(,50)
 cookie=0x0, duration=308.737s, table=0, n_packets=0, n_bytes=0, idle_age=308, priority=1,in_port=2 actions=load:0x3->NXM_NX_REG0[],resubmit(,30)
 cookie=0x0, duration=253.185s, table=13, n_packets=0, n_bytes=0, idle_age=253, priority=10,ip,vlan_tci=0x0005/0x0fff,nw_src=9.121.62.70,nw_dst=9.121.62.70 actions=drop
 cookie=0x0, duration=257.480s, table=13, n_packets=0, n_bytes=0, idle_age=257, priority=10,ip,vlan_tci=0x0005/0x0fff,nw_src=9.121.62.74,nw_dst=9.121.62.74 actions=drop
 cookie=0x0, duration=253.334s, table=13, n_packets=0, n_bytes=0, idle_age=253, priority=5,ip,vlan_tci=0x0005/0x0fff,nw_dst=9.121.62.70 actions=mod_dl_dst:fa:16:3e:ef:fa:e8,resubmit(,40)
 cookie=0x0, duration=257.634s, table=13, n_packets=0, n_bytes=0, idle_age=257, priority=5,ip,vlan_tci=0x0005/0x0fff,nw_dst=9.121.62.74 actions=mod_dl_dst:fa:16:3e:12:58:cb,resubmit(,40)
 cookie=0x0, duration=307.907s, table=13, n_packets=0, n_bytes=0, idle_age=307, priority=0 actions=strip_vlan,resubmit(,20)
 cookie=0x0, duration=308.072s, table=21, n_packets=2474, n_bytes=148440, idle_age=0, priority=0 actions=NORMAL
 cookie=0x0, duration=257.784s, table=21, n_packets=0, n_bytes=0, idle_age=257, priority=1,arp,arp_tpa=9.121.62.74 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:12:58:cb,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163e1258cb->NXM_NX_ARP_SHA[],load:0x9793e4a->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=253.479s, table=21, n_packets=0, n_bytes=0, idle_age=253, priority=1,arp,arp_tpa=9.121.62.70 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:ef:fa:e8,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163eeffae8->NXM_NX_ARP_SHA[],load:0x9793e46->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=258.398s, table=30, n_packets=0, n_bytes=0, idle_age=258, priority=5,icmp,vlan_tci=0x0005/0x0fff,dl_dst=fa:16:3e:12:58:cb actions=learn(table=40,hard_timeout=300,priority=1,eth_type=0x800,NXM_OF_IP_PROTO[],NXM_OF_IP_SRC[]=NXM_OF_IP_DST[],NXM_OF_ETH_DST[],load:NXM_OF_VLAN_TCI[0..11]->NXM_OF_VLAN_TCI[0..11],load:NXM_OF_IP_SRC[]->NXM_OF_IP_DST[],load:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],load:NXM_OF_ETH_DST[]->NXM_OF_ETH_SRC[],output:NXM_NX_REG0[]),mod_nw_src:9.121.62.74,mod_dl_src:fa:16:3e:12:58:cb,resubmit(,13)
 cookie=0x0, duration=253.935s, table=30, n_packets=0, n_bytes=0, idle_age=253, priority=5,tcp,vlan_tci=0x0005/0x0fff,dl_dst=fa:16:3e:ef:fa:e8 actions=learn(table=40,hard_timeout=300,priority=1,eth_type=0x800,nw_proto=6,NXM_OF_TCP_DST[]=NXM_OF_TCP_SRC[],NXM_OF_IP_SRC[]=NXM_OF_IP_DST[],NXM_OF_TCP_SRC[]=NXM_OF_TCP_DST[],NXM_OF_ETH_DST[],load:NXM_OF_VLAN_TCI[0..11]->NXM_OF_VLAN_TCI[0..11],load:NXM_OF_IP_SRC[]->NXM_OF_IP_DST[],load:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],load:NXM_OF_ETH_DST[]->NXM_OF_ETH_SRC[],output:NXM_NX_REG0[]),mod_nw_src:9.121.62.70,mod_dl_src:fa:16:3e:ef:fa:e8,resubmit(,13)
 cookie=0x0, duration=258.244s, table=30, n_packets=0, n_bytes=0, idle_age=258, priority=5,tcp,vlan_tci=0x0005/0x0fff,dl_dst=fa:16:3e:12:58:cb actions=learn(table=40,hard_timeout=300,priority=1,eth_type=0x800,nw_proto=6,NXM_OF_TCP_DST[]=NXM_OF_TCP_SRC[],NXM_OF_IP_SRC[]=NXM_OF_IP_DST[],NXM_OF_TCP_SRC[]=NXM_OF_TCP_DST[],NXM_OF_ETH_DST[],load:NXM_OF_VLAN_TCI[0..11]->NXM_OF_VLAN_TCI[0..11],load:NXM_OF_IP_SRC[]->NXM_OF_IP_DST[],load:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],load:NXM_OF_ETH_DST[]->NXM_OF_ETH_SRC[],output:NXM_NX_REG0[]),mod_nw_src:9.121.62.74,mod_dl_src:fa:16:3e:12:58:cb,resubmit(,13)
 cookie=0x0, duration=254.088s, table=30, n_packets=0, n_bytes=0, idle_age=254, priority=5,icmp,vlan_tci=0x0005/0x0fff,dl_dst=fa:16:3e:ef:fa:e8 actions=learn(table=40,hard_timeout=300,priority=1,eth_type=0x800,NXM_OF_IP_PROTO[],NXM_OF_IP_SRC[]=NXM_OF_IP_DST[],NXM_OF_ETH_DST[],load:NXM_OF_VLAN_TCI[0..11]->NXM_OF_VLAN_TCI[0..11],load:NXM_OF_IP_SRC[]->NXM_OF_IP_DST[],load:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],load:NXM_OF_ETH_DST[]->NXM_OF_ETH_SRC[],output:NXM_NX_REG0[]),mod_nw_src:9.121.62.70,mod_dl_src:fa:16:3e:ef:fa:e8,resubmit(,13)
 cookie=0x0, duration=308.423s, table=30, n_packets=0, n_bytes=0, idle_age=308, priority=0 actions=drop
 cookie=0x0, duration=253.627s, table=50, n_packets=2427, n_bytes=145620, idle_age=0, priority=10,arp actions=resubmit(,21)
 cookie=0x0, duration=308.239s, table=50, n_packets=14157, n_bytes=4348660, idle_age=0, priority=0 actions=NORMAL
 cookie=0x0, duration=258.093s, table=50, n_packets=0, n_bytes=0, idle_age=258, priority=5,ip,dl_dst=fa:16:3e:12:58:cb,nw_dst=9.121.62.74 actions=resubmit(,40)
 cookie=0x0, duration=253.780s, table=50, n_packets=0, n_bytes=0, idle_age=253, priority=5,ip,dl_dst=fa:16:3e:ef:fa:e8,nw_dst=9.121.62.70 actions=resubmit(,40)
