NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=306.767s, table=0, n_packets=8601, n_bytes=540812, idle_age=0, priority=0 actions=drop
 cookie=0x0, duration=250.835s, table=0, n_packets=0, n_bytes=0, idle_age=250, priority=1,ip,in_port=3,vlan_tci=0x0005/0x0fff,dl_src=fa:16:3e:12:58:cb actions=resubmit(,61)
 cookie=0x0, duration=246.543s, table=0, n_packets=0, n_bytes=0, idle_age=246, priority=1,ip,in_port=3,vlan_tci=0x0005/0x0fff,dl_src=fa:16:3e:ef:fa:e8 actions=resubmit(,61)
 cookie=0x0, duration=291.916s, table=0, n_packets=19, n_bytes=1502, idle_age=38, priority=1,in_port=5 actions=resubmit(,3)
 cookie=0x0, duration=306.914s, table=0, n_packets=11, n_bytes=830, idle_age=252, priority=1,in_port=1 actions=resubmit(,1)
 cookie=0x0, duration=296.203s, table=0, n_packets=24, n_bytes=1872, idle_age=71, priority=1,in_port=4 actions=resubmit(,3)
 cookie=0x0, duration=306.301s, table=1, n_packets=0, n_bytes=0, idle_age=306, priority=1,arp,arp_op=1 actions=resubmit(,21)
 cookie=0x0, duration=306.456s, table=1, n_packets=11, n_bytes=830, idle_age=252, priority=0,dl_dst=01:00:00:00:00:00/01:00:00:00:00:00 actions=resubmit(,22)
 cookie=0x0, duration=306.608s, table=1, n_packets=0, n_bytes=0, idle_age=306, priority=0,dl_dst=00:00:00:00:00:00/01:00:00:00:00:00 actions=resubmit(,12)
 cookie=0x0, duration=305.992s, table=2, n_packets=0, n_bytes=0, idle_age=305, priority=0 actions=drop
 cookie=0x0, duration=305.840s, table=3, n_packets=0, n_bytes=0, idle_age=305, priority=0 actions=drop
 cookie=0x0, duration=291.662s, table=3, n_packets=12, n_bytes=936, idle_age=87, priority=1,tun_id=0x1388 actions=mod_vlan_vid:1,resubmit(,11)
 cookie=0x0, duration=251.623s, table=3, n_packets=0, n_bytes=0, idle_age=251, priority=1,tun_id=0x138a actions=mod_vlan_vid:5,resubmit(,11)
 cookie=0x0, duration=287.570s, table=3, n_packets=12, n_bytes=936, idle_age=116, priority=1,tun_id=0x138c actions=mod_vlan_vid:3,resubmit(,11)
 cookie=0x0, duration=289.612s, table=3, n_packets=12, n_bytes=936, idle_age=71, priority=1,tun_id=0x1389 actions=mod_vlan_vid:2,resubmit(,11)
 cookie=0x0, duration=287.567s, table=3, n_packets=7, n_bytes=566, idle_age=38, priority=1,tun_id=0x138b actions=mod_vlan_vid:4,resubmit(,11)
 cookie=0x0, duration=305.688s, table=11, n_packets=43, n_bytes=3374, idle_age=38, priority=0 actions=resubmit(,50)
 cookie=0x0, duration=250.686s, table=11, n_packets=0, n_bytes=0, idle_age=250, priority=1,ip,vlan_tci=0x0005/0x0fff,dl_dst=fa:16:3e:12:58:cb actions=resubmit(,51)
 cookie=0x0, duration=246.387s, table=11, n_packets=0, n_bytes=0, idle_age=246, priority=1,ip,vlan_tci=0x0005/0x0fff,dl_dst=fa:16:3e:ef:fa:e8 actions=resubmit(,51)
 cookie=0x0, duration=305.536s, table=12, n_packets=0, n_bytes=0, idle_age=305, priority=0 actions=resubmit(,60)
 cookie=0x0, duration=250.537s, table=12, n_packets=0, n_bytes=0, idle_age=250, priority=1,ip,vlan_tci=0x0005/0x0fff,dl_dst=fa:16:3e:12:58:cb actions=resubmit(,52)
 cookie=0x0, duration=246.231s, table=12, n_packets=0, n_bytes=0, idle_age=246, priority=1,ip,vlan_tci=0x0005/0x0fff,dl_dst=fa:16:3e:ef:fa:e8 actions=resubmit(,52)
 cookie=0x0, duration=306.140s, table=21, n_packets=0, n_bytes=0, idle_age=306, priority=0,arp actions=resubmit(,22)
 cookie=0x0, duration=259.054s, table=21, n_packets=0, n_bytes=0, idle_age=259, priority=1,arp,dl_vlan=3,arp_tpa=10.10.2.3 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:de:ed:12,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163edeed12->NXM_NX_ARP_SHA[],load:0xa0a0203->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=263.106s, table=21, n_packets=0, n_bytes=0, idle_age=263, priority=1,arp,dl_vlan=4,arp_tpa=10.10.1.3 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:13:5f:2d,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163e135f2d->NXM_NX_ARP_SHA[],load:0xa0a0103->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=261.696s, table=21, n_packets=0, n_bytes=0, idle_age=261, priority=1,arp,dl_vlan=4,arp_tpa=10.10.1.1 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:85:b4:5a,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163e85b45a->NXM_NX_ARP_SHA[],load:0xa0a0101->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=265.683s, table=21, n_packets=0, n_bytes=0, idle_age=265, priority=1,arp,dl_vlan=2,arp_tpa=10.10.2.1 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:a8:1a:ba,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163ea81aba->NXM_NX_ARP_SHA[],load:0xa0a0201->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=267.711s, table=21, n_packets=0, n_bytes=0, idle_age=267, priority=1,arp,dl_vlan=1,arp_tpa=10.10.1.1 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:09:b3:0d,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163e09b30d->NXM_NX_ARP_SHA[],load:0xa0a0101->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=269.109s, table=21, n_packets=0, n_bytes=0, idle_age=269, priority=1,arp,dl_vlan=1,arp_tpa=10.10.1.3 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:bb:b3:6a,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163ebbb36a->NXM_NX_ARP_SHA[],load:0xa0a0103->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=258.576s, table=21, n_packets=0, n_bytes=0, idle_age=258, priority=1,arp,dl_vlan=3,arp_tpa=10.10.2.2 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:ce:a9:e9,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163ecea9e9->NXM_NX_ARP_SHA[],load:0xa0a0202->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=257.633s, table=21, n_packets=0, n_bytes=0, idle_age=257, priority=1,arp,dl_vlan=3,arp_tpa=10.10.2.1 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:b0:f0:55,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163eb0f055->NXM_NX_ARP_SHA[],load:0xa0a0201->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=268.641s, table=21, n_packets=0, n_bytes=0, idle_age=268, priority=1,arp,dl_vlan=1,arp_tpa=10.10.1.2 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:9e:3f:91,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163e9e3f91->NXM_NX_ARP_SHA[],load:0xa0a0102->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=262.635s, table=21, n_packets=0, n_bytes=0, idle_age=262, priority=1,arp,dl_vlan=4,arp_tpa=10.10.1.2 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:50:b9:dd,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163e50b9dd->NXM_NX_ARP_SHA[],load:0xa0a0102->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=267.074s, table=21, n_packets=0, n_bytes=0, idle_age=267, priority=1,arp,dl_vlan=2,arp_tpa=10.10.2.3 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:cd:bc:43,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163ecdbc43->NXM_NX_ARP_SHA[],load:0xa0a0203->NXM_OF_ARP_SPA[],IN_PORT
