NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=1341.574s, table=0, n_packets=10, n_bytes=792, idle_age=1302, priority=0 actions=drop
 cookie=0x0, duration=1311.066s, table=0, n_packets=3, n_bytes=230, idle_age=1303, priority=1,in_port=65 actions=resubmit(,1)
 cookie=0x0, duration=1301s, table=0, n_packets=3, n_bytes=230, idle_age=1294, priority=1,in_port=68 actions=resubmit(,1)
 cookie=0x0, duration=1309.036s, table=0, n_packets=2, n_bytes=140, idle_age=1301, priority=1,in_port=66 actions=resubmit(,1)
 cookie=0x0, duration=1305.069s, table=0, n_packets=4, n_bytes=300, idle_age=1296, priority=1,in_port=67 actions=resubmit(,1)
 cookie=0x0, duration=1341.721s, table=0, n_packets=1, n_bytes=98, idle_age=1080, priority=1,in_port=64 actions=resubmit(,10)
 cookie=0x0, duration=1341.423s, table=1, n_packets=0, n_bytes=0, idle_age=1341, priority=0 actions=drop
 cookie=0x0, duration=1308.881s, table=1, n_packets=2, n_bytes=140, idle_age=1301, priority=1,in_port=66,vlan_tci=0x0000 actions=mod_vlan_vid:2,resubmit(,10)
 cookie=0x0, duration=1304.914s, table=1, n_packets=4, n_bytes=300, idle_age=1296, priority=1,in_port=67,vlan_tci=0x0000 actions=mod_vlan_vid:4,resubmit(,10)
 cookie=0x0, duration=1310.905s, table=1, n_packets=3, n_bytes=230, idle_age=1303, priority=1,in_port=65,vlan_tci=0x0000 actions=mod_vlan_vid:1,resubmit(,10)
 cookie=0x0, duration=1300.851s, table=1, n_packets=3, n_bytes=230, idle_age=1294, priority=1,in_port=68,vlan_tci=0x0000 actions=mod_vlan_vid:3,resubmit(,10)
 cookie=0x0, duration=1293.118s, table=2, n_packets=0, n_bytes=0, idle_age=1293, priority=1,ip,vlan_tci=0x0005/0x0fff,dl_dst=fa:16:3e:12:58:cb actions=load:0x40->NXM_NX_REG0[],resubmit(,21)
 cookie=0x0, duration=1288.814s, table=2, n_packets=0, n_bytes=0, idle_age=1288, priority=1,ip,vlan_tci=0x0005/0x0fff,dl_dst=fa:16:3e:ef:fa:e8 actions=load:0x40->NXM_NX_REG0[],resubmit(,21)
